subtask_id,period_ms,core,priority,latency_us
1,1,0,90,1.370
1,1,0,90,415.696
1,1,0,90,860.558
1,1,0,90,1279.013
1,1,0,90,1669.857
1,1,0,90,2110.627
1,1,0,90,2516.656
1,1,0,90,2985.982
1,1,0,90,3381.955
1,1,0,90,3811.077
1,1,0,90,4204.051
1,1,0,90,4608.117
1,1,0,90,5071.572
1,1,0,90,5510.972
1,1,0,90,5944.704
1,1,0,90,6405.567
1,1,0,90,6793.503
1,1,0,90,7213.070
1,1,0,90,7595.210
1,1,0,90,8087.202
1,1,0,90,8475.639
1,1,0,90,8922.334
1,1,0,90,9322.086
1,1,0,90,9745.189
1,1,0,90,10233.700
1,1,0,90,10767.950
1,1,0,90,11163.035
1,1,0,90,11552.842
1,1,0,90,11986.538
1,1,0,90,12417.512
1,1,0,90,12807.708
1,1,0,90,13296.977
1,1,0,90,13673.062
1,1,0,90,14126.536
1,1,0,90,14512.454
1,1,0,90,14925.706
1,1,0,90,15388.864
1,1,0,90,15864.152
1,1,0,90,16282.663
1,1,0,90,16700.340
1,1,0,90,17097.925
1,1,0,90,17524.880
1,1,0,90,17927.484
1,1,0,90,18354.587
1,1,0,90,18729.135
1,1,0,90,19153.738
1,1,0,90,19539.527
1,1,0,90,19934.241
1,1,0,90,20408.141
1,1,0,90,20917.743
1,1,0,90,21338.273
1,1,0,90,21732.783
1,1,0,90,22130.776
1,1,0,90,22585.749
1,1,0,90,22968.316
1,1,0,90,23406.030
1,1,0,90,23812.226
1,1,0,90,24243.644
1,1,0,90,24624.618
1,1,0,90,25015.517
1,1,0,90,25476.602
1,1,0,90,25975.353
1,1,0,90,26394.141
1,1,0,90,26802.485
1,1,0,90,27196.422
1,1,0,90,27645.470
1,1,0,90,28048.758
1,1,0,90,28558.861
1,1,0,90,28941.446
1,1,0,90,29358.697
1,1,0,90,29794.060
1,1,0,90,30178.571
1,1,0,90,30644.433
1,1,0,90,31124.906
1,1,0,90,31539.806
1,1,0,90,31955.243
1,1,0,90,32344.457
1,1,0,90,32798.875
1,1,0,90,33189.664
1,1,0,90,33615.767
1,1,0,90,34004.481
1,1,0,90,34446.677
1,1,0,90,34833.447
1,1,0,90,35236.069
1,1,0,90,35714.950
1,1,0,90,36181.701
1,1,0,90,36595.064
1,1,0,90,37011.834
1,1,0,90,37401.807
1,1,0,90,37819.948
1,1,0,90,38214.977
1,1,0,90,38644.951
1,1,0,90,39049.054
1,1,0,90,39482.861
1,1,0,90,39863.946
1,1,0,90,40236.216
1,1,0,90,40707.967
1,1,0,90,41161.293
1,1,0,90,41624.396
1,1,0,90,42056.425
1,1,0,90,42452.824
1,1,0,90,42905.020
1,1,0,90,43311.012
1,1,0,90,43740.319
1,1,0,90,44125.849
1,1,0,90,44538.100
1,1,0,90,44976.240
1,1,0,90,45365.529
1,1,0,90,45814.039
1,1,0,90,46340.327
1,1,0,90,46752.338
1,1,0,90,47145.701
1,1,0,90,47551.100
1,1,0,90,47991.333
1,1,0,90,48360.677
1,1,0,90,48819.725
1,1,0,90,49199.347
1,1,0,90,49606.376
1,1,0,90,49990.443
1,1,0,90,50376.991
1,1,0,90,50869.631
1,1,0,90,51351.270
1,1,0,90,51790.281
1,1,0,90,52188.588
1,1,0,90,52579.599
1,1,0,90,52998.202
1,1,0,90,53392.435
1,1,0,90,53854.446
1,1,0,90,54240.901
1,1,0,90,54689.430
1,1,0,90,55077.922
1,1,0,90,55463.637
1,1,0,90,55922.685
1,1,0,90,56403.510
1,1,0,90,56820.594
1,1,0,90,57232.383
1,1,0,90,57627.357
1,1,0,90,58059.367
1,1,0,90,58439.360
1,1,0,90,58885.204
1,1,0,90,59282.659
1,1,0,90,59729.669
1,1,0,90,60124.514
1,1,0,90,60512.506
1,1,0,90,60969.424
1,1,0,90,61413.194
1,1,0,90,61817.093
1,1,0,90,62205.104
1,1,0,90,62613.819
1,1,0,90,63036.385
1,1,0,90,63414.044
1,1,0,90,63834.758
1,1,0,90,64223.713
1,1,0,90,64649.650
1,1,0,90,65045.902
1,1,0,90,65443.486
1,1,0,90,65906.034
1,1,0,90,66401.081
1,1,0,90,66812.129
1,1,0,90,67211.732
1,1,0,90,67994.482
1,1,0,90,67748.848
1,1,0,90,68373.728
1,1,0,90,68073.520
1,1,0,90,68304.717
1,1,0,90,68431.267
1,1,0,90,68264.577
1,1,0,90,68031.573
1,1,0,90,68966.006
1,1,0,90,68673.391
1,1,0,90,68749.237
1,1,0,90,68445.030
1,1,0,90,68560.301
1,1,0,90,68261.223
1,1,0,90,68832.381
1,1,0,90,68578.933
1,1,0,90,68741.686
1,1,0,90,68807.606
1,1,0,90,68974.007
1,1,0,90,68693.632
1,1,0,90,69400.623
1,1,0,90,69073.656
1,1,0,90,69131.465
1,1,0,90,68967.627
1,1,0,90,69147.158
1,1,0,90,68926.394
1,1,0,90,69492.071
1,1,0,90,69184.363
1,1,0,90,69535.448
1,1,0,90,69601.831
1,1,0,90,69578.474
1,1,0,90,69324.655
1,1,0,90,70235.830
1,1,0,90,70044.659
1,1,0,90,70013.672
1,1,0,90,69792.445
1,1,0,90,70186.864
1,1,0,90,69965.878
1,1,0,90,70113.427
1,1,0,90,69918.478
1,1,0,90,70222.508
1,1,0,90,70252.447
1,1,0,90,70316.941
1,1,0,90,70016.530
1,1,0,90,70624.336
1,1,0,90,70309.017
1,1,0,90,70390.326
1,1,0,90,70318.895
1,1,0,90,70322.815
1,1,0,90,70050.663
1,1,0,90,70494.785
1,1,0,90,70271.262
1,1,0,90,70610.588
1,1,0,90,70465.120
1,1,0,90,70447.615
1,1,0,90,70251.610
1,1,0,90,71081.193
1,1,0,90,70854.540
1,1,0,90,70811.720
1,1,0,90,70581.957
1,1,0,90,71067.374
1,1,0,90,70761.259
1,1,0,90,71133.048
1,1,0,90,70891.674
1,1,0,90,71112.778
1,1,0,90,71050.717
1,1,0,90,70893.027
1,1,0,90,70583.857
1,1,0,90,71317.662
1,1,0,90,71078.565
1,1,0,90,71126.115
1,1,0,90,71058.129
1,1,0,90,71298.474
1,1,0,90,71070.414
1,1,0,90,71093.593
1,1,0,90,70882.978
1,1,0,90,71211.045
1,1,0,90,71038.799
1,1,0,90,71114.553
1,1,0,90,70888.641
1,1,0,90,71579.761
1,1,0,90,71291.128
1,1,0,90,71057.031
1,1,0,90,71059.414
1,1,0,90,71166.334
1,1,0,90,70881.645
1,1,0,90,71453.358
1,1,0,90,71191.799
1,1,0,90,71628.328
1,1,0,90,71414.324
1,1,0,90,71243.208
1,1,0,90,70977.408
1,1,0,90,71768.120
1,1,0,90,71440.838
1,1,0,90,71509.777
1,1,0,90,71258.014
1,1,0,90,71631.043
1,1,0,90,71369.409
1,1,0,90,71799.568
1,1,0,90,71586.008
1,1,0,90,71621.780
1,1,0,90,71526.775
1,1,0,90,71502.066
1,1,0,90,71250.692
1,1,0,90,71717.943
1,1,0,90,71486.142
1,1,0,90,71572.303
1,1,0,90,71499.779
1,1,0,90,71745.346
1,1,0,90,71553.823
1,1,0,90,71976.871
1,1,0,90,71778.756
1,1,0,90,71742.528
1,1,0,90,71736.912
1,1,0,90,71873.202
1,1,0,90,71577.790
1,1,0,90,72173.633
1,1,0,90,71934.462
1,1,0,90,72011.142
1,1,0,90,72081.469
1,1,0,90,71881.372
1,1,0,90,71613.812
1,1,0,90,72044.045
1,1,0,90,71774.634
1,1,0,90,72115.182
1,1,0,90,71862.085
1,1,0,90,71918.894
1,1,0,90,71726.353
1,1,0,90,72350.473
1,1,0,90,72187.636
1,1,0,90,72174.704
1,1,0,90,72086.514
1,1,0,90,72226.785
1,1,0,90,71998.837
1,1,0,90,72357.070
1,1,0,90,72023.937
1,1,0,90,72184.671
1,1,0,90,72183.888
1,1,0,90,72222.882
1,1,0,90,72089.951
1,1,0,90,72596.628
1,1,0,90,72394.587
1,1,0,90,72474.562
1,1,0,90,72223.040
1,1,0,90,72544.366
1,1,0,90,72344.417
1,1,0,90,72582.632
1,1,0,90,72452.535
1,1,0,90,72500.603
1,1,0,90,72484.598
1,1,0,90,72499.814
1,1,0,90,72157.218
1,1,0,90,72811.227
1,1,0,90,72587.705
1,1,0,90,72498.514
1,1,0,90,72518.027
1,1,0,90,72715.521
1,1,0,90,72493.461
1,1,0,90,72693.732
1,1,0,90,72506.042
1,1,0,90,72643.351
1,1,0,90,72533.327
1,1,0,90,72627.266
1,1,0,90,72432.428
1,1,0,90,73046.493
1,1,0,90,72719.749
1,1,0,90,72555.503
1,1,0,90,72585.257
1,1,0,90,72769.769
1,1,0,90,72569.839
1,1,0,90,72851.850
1,1,0,90,72522.031
1,1,0,90,72951.931
1,1,0,90,72800.426
1,1,0,90,72497.848
1,1,0,90,72250.048
1,1,0,90,72699.188
1,1,0,90,72472.387
1,1,0,90,72231.883
1,1,0,90,72178.748
1,1,0,90,72095.392
1,1,0,90,71851.202
1,1,0,90,71923.067
1,1,0,90,71703.859
1,1,0,90,71646.242
1,1,0,90,71577.682
1,1,0,90,71300.567
1,1,0,90,70970.192
1,1,0,90,71424.629
1,1,0,90,71212.902
1,1,0,90,70942.639
1,1,0,90,70831.356
1,1,0,90,70797.666
1,1,0,90,70604.976
1,1,0,90,70549.489
1,1,0,90,70251.504
1,1,0,90,70251.832
1,1,0,90,70303.937
1,1,0,90,70058.433
1,1,0,90,72825.320
1,1,0,90,73543.106
1,1,0,90,73326.861
1,1,0,90,73206.116
1,1,0,90,73172.055
1,1,0,90,73391.548
1,1,0,90,73077.952
1,1,0,90,73632.573
1,1,0,90,73289.643
1,1,0,90,73380.563
1,1,0,90,73336.132
1,1,0,90,73279.016
1,1,0,90,73039.845
1,1,0,90,73596.521
1,1,0,90,73383.684
1,1,0,90,73588.307
1,1,0,90,73497.117
1,1,0,90,73806.572
1,1,0,90,73540.753
1,1,0,90,73802.580
1,1,0,90,73579.242
1,1,0,90,73609.588
1,1,0,90,73621.601
1,1,0,90,73657.299
1,1,0,90,73325.259
1,1,0,90,74105.767
1,1,0,90,73911.615
1,1,0,90,74026.275
1,1,0,90,73694.475
1,1,0,90,73933.542
1,1,0,90,73712.390
1,1,0,90,74223.696
1,1,0,90,73954.952
1,1,0,90,74293.611
1,1,0,90,74200.661
1,1,0,90,74102.693
1,1,0,90,73891.652
1,1,0,90,74694.253
1,1,0,90,74458.305
1,1,0,90,74571.113
1,1,0,90,74598.904
1,1,0,90,74681.435
1,1,0,90,74343.302
1,1,0,90,74846.960
1,1,0,90,74619.308
1,1,0,90,74941.393
1,1,0,90,74826.666
1,1,0,90,74906.271
1,1,0,90,74622.674
1,1,0,90,75539.331
1,1,0,90,75200.438
1,1,0,90,75285.043
1,1,0,90,75106.353
1,1,0,90,75535.457
1,1,0,90,75222.082
1,1,0,90,74934.430
1,1,0,90,74631.797
1,1,0,90,74429.144
1,1,0,90,74417.268
1,1,0,90,74118.394
1,1,0,90,73768.428
1,1,0,90,74776.046
1,1,0,90,74467.450
1,1,0,90,74451.537
1,1,0,90,74206.088
1,1,0,90,74554.988
1,1,0,90,74318.003
1,1,0,90,74525.922
1,1,0,90,74271.992
1,1,0,90,74402.652
1,1,0,90,74277.018
1,1,0,90,74428.326
1,1,0,90,74078.638
1,1,0,90,74571.518
1,1,0,90,74329.810
1,1,0,90,74347.768
1,1,0,90,74302.281
1,1,0,90,74522.645
1,1,0,90,74293.270
1,1,0,90,74467.393
1,1,0,90,74260.648
1,1,0,90,74506.956
1,1,0,90,74219.656
1,1,0,90,74329.131
1,1,0,90,74048.831
1,1,0,90,74822.080
1,1,0,90,74620.076
1,1,0,90,74635.052
1,1,0,90,74688.564
1,1,0,90,74628.355
1,1,0,90,74286.630
1,1,0,90,74821.325
1,1,0,90,74502.932
1,1,0,90,74833.480
1,1,0,90,74709.846
1,1,0,90,74787.266
1,1,0,90,74534.243
1,1,0,90,75202.586
1,1,0,90,75025.748
1,1,0,90,75082.298
1,1,0,90,74832.701
1,1,0,90,75241.156
1,1,0,90,75067.485
1,1,0,90,75732.754
1,1,0,90,75477.064
1,1,0,90,75269.801
1,1,0,90,75344.813
1,1,0,90,75499.492
1,1,0,90,75165.007
1,1,0,90,75713.832
1,1,0,90,75399.902
1,1,0,90,75837.894
1,1,0,90,75758.037
1,1,0,90,75862.883
1,1,0,90,75562.360
1,1,0,90,75894.520
1,1,0,90,75659.590
1,1,0,90,75959.508
1,1,0,90,75726.300
1,1,0,90,75864.757
1,1,0,90,75640.068
1,1,0,90,75931.523
1,1,0,90,75695.760
1,1,0,90,75822.587
1,1,0,90,75652.527
1,1,0,90,76078.927
1,1,0,90,75752.219
1,1,0,90,75984.694
1,1,0,90,75775.245
1,1,0,90,75635.296
1,1,0,90,75982.140
1,1,0,90,76465.706
1,1,0,90,76198.295
1,1,0,90,76305.122
1,1,0,90,76350.375
1,1,0,90,76326.037
1,1,0,90,76767.047
1,1,0,90,76776.505
1,1,0,90,76898.795
1,1,0,90,76731.309
1,1,0,90,77046.227
1,1,0,90,76955.982
1,1,0,90,77059.031
1,1,0,90,77106.266
1,1,0,90,77482.055
1,1,0,90,77357.365
