subtask_id,period_ms,core,priority,latency_us
1,1,0,90,0.870
1,1,0,90,593.177
1,1,0,90,1.230
1,1,0,90,33.484
1,1,0,90,408.791
1,1,0,90,401.786
1,1,0,90,865.926
1,1,0,90,4.685
1,1,0,90,992.952
1,1,0,90,994.651
1,1,0,90,883.664
1,1,0,90,22.312
1,1,0,90,992.598
1,1,0,90,993.426
1,1,0,90,993.272
1,1,0,90,992.896
1,1,0,90,992.076
1,1,0,90,993.904
1,1,0,90,992.177
1,1,0,90,992.986
1,1,0,90,976.203
1,1,0,90,995.105
1,1,0,90,954.619
1,1,0,90,3.896
1,1,0,90,993.534
1,1,0,90,994.732
1,1,0,90,994.190
1,1,0,90,993.925
1,1,0,90,993.679
1,1,0,90,994.248
1,1,0,90,994.261
1,1,0,90,993.663
1,1,0,90,993.751
1,1,0,90,1005.505
1,1,0,90,994.370
1,1,0,90,994.124
1,1,0,90,993.248
1,1,0,90,994.465
1,1,0,90,981.663
1,1,0,90,996.195
1,1,0,90,994.264
1,1,0,90,993.759
1,1,0,90,994.327
1,1,0,90,993.674
1,1,0,90,994.557
1,1,0,90,993.330
1,1,0,90,993.343
1,1,0,90,993.023
1,1,0,90,992.999
1,1,0,90,993.475
1,1,0,90,992.581
1,1,0,90,993.372
1,1,0,90,992.830
1,1,0,90,993.676
1,1,0,90,993.282
1,1,0,90,993.610
1,1,0,90,994.346
1,1,0,90,999.414
1,1,0,90,994.613
1,1,0,90,993.959
1,1,0,90,993.176
1,1,0,90,993.782
1,1,0,90,992.629
1,1,0,90,993.512
1,1,0,90,992.359
1,1,0,90,993.761
1,1,0,90,996.015
1,1,0,90,995.380
1,1,0,90,994.449
1,1,0,90,993.888
1,1,0,90,993.475
1,1,0,90,993.618
1,1,0,90,992.409
1,1,0,90,992.774
1,1,0,90,951.917
1,1,0,90,1002.689
1,1,0,90,1001.054
1,1,0,90,995.216
1,1,0,90,993.488
1,1,0,90,981.594
1,1,0,90,994.033
1,1,0,90,993.546
1,1,0,90,992.541
1,1,0,90,995.739
1,1,0,90,992.512
1,1,0,90,992.729
1,1,0,90,992.224
1,1,0,90,992.311
1,1,0,90,993.046
1,1,0,90,997.911
1,1,0,90,992.628
1,1,0,90,992.827
1,1,0,90,992.025
1,1,0,90,968.557
1,1,0,90,997.292
1,1,0,90,992.713
1,1,0,90,992.115
1,1,0,90,995.147
1,1,0,90,1003.752
1,1,0,90,993.710
1,1,0,90,992.779
1,1,0,90,993.977
1,1,0,90,993.583
1,1,0,90,993.078
1,1,0,90,992.647
1,1,0,90,992.771
1,1,0,90,992.729
1,1,0,90,992.797
1,1,0,90,1002.070
1,1,0,90,993.490
1,1,0,90,992.744
1,1,0,90,993.628
1,1,0,90,994.567
1,1,0,90,991.951
1,1,0,90,992.519
1,1,0,90,992.551
1,1,0,90,992.768
1,1,0,90,995.096
1,1,0,90,994.239
1,1,0,90,1686.100
1,1,0,90,1164.727
1,1,0,90,994.167
1,1,0,90,992.958
1,1,0,90,992.453
1,1,0,90,993.022
1,1,0,90,992.869
1,1,0,90,992.437
1,1,0,90,992.191
1,1,0,90,992.816
1,1,0,90,992.699
1,1,0,90,992.805
1,1,0,90,981.837
1,1,0,90,998.294
1,1,0,90,992.956
1,1,0,90,992.506
1,1,0,90,1015.926
1,1,0,90,992.736
1,1,0,90,994.990
1,1,0,90,993.929
1,1,0,90,992.924
1,1,0,90,993.196
1,1,0,90,994.098
1,1,0,90,992.593
1,1,0,90,992.792
1,1,0,90,1002.231
1,1,0,90,992.466
1,1,0,90,992.646
1,1,0,90,992.270
1,1,0,90,992.487
1,1,0,90,993.037
1,1,0,90,965.718
1,1,0,90,999.175
1,1,0,90,993.781
1,1,0,90,993.127
1,1,0,90,992.418
1,1,0,90,994.987
1,1,0,90,994.908
1,1,0,90,995.162
1,1,0,90,994.582
1,1,0,90,992.966
1,1,0,90,994.164
1,1,0,90,994.178
1,1,0,90,993.043
1,1,0,90,993.611
1,1,0,90,992.699
1,1,0,90,993.749
1,1,0,90,1001.410
1,1,0,90,993.720
1,1,0,90,994.326
1,1,0,90,978.709
1,1,0,90,999.352
1,1,0,90,992.754
1,1,0,90,999.786
1,1,0,90,993.577
1,1,0,90,1002.405
1,1,0,90,992.363
1,1,0,90,992.394
1,1,0,90,995.111
1,1,0,90,994.161
1,1,0,90,993.082
1,1,0,90,993.651
1,1,0,90,1003.145
1,1,0,90,993.011
1,1,0,90,992.746
1,1,0,90,993.241
1,1,0,90,994.272
1,1,0,90,993.267
1,1,0,90,993.280
1,1,0,90,979.868
1,1,0,90,998.122
1,1,0,90,994.172
1,1,0,90,993.259
1,1,0,90,993.272
1,1,0,90,993.489
1,1,0,90,992.595
1,1,0,90,1013.867
1,1,0,90,995.159
1,1,0,90,995.246
1,1,0,90,994.074
1,1,0,90,993.865
1,1,0,90,993.785
1,1,0,90,994.132
1,1,0,90,992.553
1,1,0,90,992.418
1,1,0,90,993.153
1,1,0,90,992.592
1,1,0,90,992.365
1,1,0,90,947.156
1,1,0,90,997.854
1,1,0,90,994.053
1,1,0,90,993.955
1,1,0,90,993.116
1,1,0,90,993.037
1,1,0,90,992.698
1,1,0,90,1003.100
1,1,0,90,993.224
1,1,0,90,993.182
1,1,0,90,994.917
1,1,0,90,992.357
1,1,0,90,992.740
1,1,0,90,993.272
1,1,0,90,993.063
1,1,0,90,992.669
1,1,0,90,992.941
1,1,0,90,992.491
1,1,0,90,993.208
1,1,0,90,970.518
1,1,0,90,998.198
1,1,0,90,992.452
1,1,0,90,992.854
1,1,0,90,984.478
1,1,0,90,992.806
1,1,0,90,992.412
1,1,0,90,992.610
1,1,0,90,992.661
1,1,0,90,992.489
1,1,0,90,992.798
1,1,0,90,994.385
1,1,0,90,992.732
1,1,0,90,992.338
1,1,0,90,998.055
1,1,0,90,993.086
1,1,0,90,992.766
1,1,0,90,992.965
1,1,0,90,993.089
1,1,0,90,963.473
1,1,0,90,997.597
1,1,0,90,993.129
1,1,0,90,992.975
1,1,0,90,993.081
1,1,0,90,992.613
1,1,0,90,992.422
1,1,0,90,992.398
1,1,0,90,992.412
1,1,0,90,992.184
1,1,0,90,992.364
1,1,0,90,992.118
1,1,0,90,994.316
1,1,0,90,992.293
1,1,0,90,992.195
1,1,0,90,992.467
1,1,0,90,992.851
1,1,0,90,992.827
1,1,0,90,993.081
1,1,0,90,973.316
1,1,0,90,998.070
1,1,0,90,992.917
1,1,0,90,992.615
1,1,0,90,993.795
1,1,0,90,992.864
1,1,0,90,993.155
1,1,0,90,992.353
1,1,0,90,992.570
1,1,0,90,992.750
1,1,0,90,992.763
1,1,0,90,992.091
1,1,0,90,992.012
1,1,0,90,994.284
1,1,0,90,992.798
1,1,0,90,992.626
1,1,0,90,992.435
1,1,0,90,992.948
1,1,0,90,992.943
1,1,0,90,969.623
1,1,0,90,998.321
1,1,0,90,992.927
1,1,0,90,992.774
1,1,0,90,992.102
1,1,0,90,992.485
1,1,0,90,992.813
1,1,0,90,992.938
1,1,0,90,993.710
1,1,0,90,992.686
1,1,0,90,992.903
1,1,0,90,992.750
1,1,0,90,991.967
1,1,0,90,995.258
1,1,0,90,994.419
1,1,0,90,992.358
1,1,0,90,992.149
1,1,0,90,994.107
1,1,0,90,992.768
1,1,0,90,968.541
1,1,0,90,998.054
1,1,0,90,992.641
1,1,0,90,993.043
1,1,0,90,993.205
1,1,0,90,992.866
1,1,0,90,993.046
1,1,0,90,993.041
1,1,0,90,992.961
1,1,0,90,1689.508
1,1,0,90,1168.042
1,1,0,90,993.242
1,1,0,90,992.810
1,1,0,90,992.601
1,1,0,90,992.189
1,1,0,90,994.313
1,1,0,90,992.159
1,1,0,90,992.210
1,1,0,90,1002.315
1,1,0,90,955.699
1,1,0,90,999.620
1,1,0,90,992.800
1,1,0,90,992.424
1,1,0,90,993.104
1,1,0,90,992.450
1,1,0,90,992.427
1,1,0,90,992.884
1,1,0,90,992.323
1,1,0,90,992.374
1,1,0,90,993.850
1,1,0,90,993.919
1,1,0,90,992.987
1,1,0,90,992.297
1,1,0,90,992.532
1,1,0,90,992.620
1,1,0,90,1003.651
1,1,0,90,994.701
1,1,0,90,954.141
1,1,0,90,998.413
1,1,0,90,993.889
1,1,0,90,993.291
1,1,0,90,993.434
1,1,0,90,992.966
1,1,0,90,993.164
1,1,0,90,993.011
1,1,0,90,994.024
1,1,0,90,992.982
1,1,0,90,993.106
1,1,0,90,993.027
1,1,0,90,992.799
1,1,0,90,992.942
1,1,0,90,993.066
1,1,0,90,993.098
1,1,0,90,992.685
1,1,0,90,992.550
1,1,0,90,994.416
1,1,0,90,971.521
1,1,0,90,1001.257
1,1,0,90,993.548
1,1,0,90,994.579
1,1,0,90,994.037
1,1,0,90,992.699
1,1,0,90,993.730
1,1,0,90,993.558
1,1,0,90,992.609
1,1,0,90,993.048
1,1,0,90,992.505
1,1,0,90,993.037
1,1,0,90,993.310
1,1,0,90,993.082
1,1,0,90,992.632
1,1,0,90,993.220
1,1,0,90,993.103
1,1,0,90,993.079
1,1,0,90,992.630
1,1,0,90,960.532
1,1,0,90,999.508
1,1,0,90,992.854
1,1,0,90,992.868
1,1,0,90,995.325
1,1,0,90,992.505
1,1,0,90,992.870
1,1,0,90,992.365
1,1,0,90,992.860
1,1,0,90,992.169
1,1,0,90,992.423
1,1,0,90,992.214
1,1,0,90,992.505
1,1,0,90,992.407
1,1,0,90,992.087
1,1,0,90,992.230
1,1,0,90,992.576
1,1,0,90,993.553
1,1,0,90,992.492
1,1,0,90,968.542
1,1,0,90,1002.277
1,1,0,90,993.957
1,1,0,90,994.026
1,1,0,90,992.743
1,1,0,90,993.015
1,1,0,90,992.862
1,1,0,90,996.005
1,1,0,90,992.407
1,1,0,90,994.124
1,1,0,90,993.119
1,1,0,90,1683.887
1,1,0,90,1162.237
1,1,0,90,993.214
1,1,0,90,992.708
1,1,0,90,993.055
1,1,0,90,992.809
1,1,0,90,992.581
1,1,0,90,992.817
1,1,0,90,973.478
