subtask_id,period_ms,core,priority,latency_us
1,1,0,90,0.926
1,1,0,90,570.510
1,1,0,90,8.138
1,1,0,90,389.834
1,1,0,90,582.587
1,1,0,90,990.654
1,1,0,90,897.742
1,1,0,90,41.371
1,1,0,90,990.046
1,1,0,90,991.263
1,1,0,90,606.408
1,1,0,90,13.998
1,1,0,90,991.155
1,1,0,90,1005.094
1,1,0,90,991.404
1,1,0,90,990.602
1,1,0,90,964.597
1,1,0,90,13.819
1,1,0,90,989.735
1,1,0,90,992.396
1,1,0,90,990.132
1,1,0,90,989.923
1,1,0,90,1029.843
1,1,0,90,990.486
1,1,0,90,990.296
1,1,0,90,990.161
1,1,0,90,990.063
1,1,0,90,960.558
1,1,0,90,992.905
1,1,0,90,991.029
1,1,0,90,990.339
1,1,0,90,1032.426
1,1,0,90,991.773
1,1,0,90,990.564
1,1,0,90,991.522
1,1,0,90,990.776
1,1,0,90,1002.178
1,1,0,90,990.432
1,1,0,90,990.131
1,1,0,90,992.959
1,1,0,90,991.065
1,1,0,90,1355.835
1,1,0,90,990.943
1,1,0,90,990.383
1,1,0,90,990.655
1,1,0,90,997.150
1,1,0,90,990.237
1,1,0,90,991.047
1,1,0,90,990.431
1,1,0,90,990.333
1,1,0,90,989.994
1,1,0,90,990.804
1,1,0,90,990.780
1,1,0,90,990.349
1,1,0,90,1000.566
1,1,0,90,991.154
1,1,0,90,990.556
1,1,0,90,990.699
1,1,0,90,990.008
1,1,0,90,993.077
1,1,0,90,990.905
1,1,0,90,990.548
1,1,0,90,964.895
1,1,0,90,992.667
1,1,0,90,991.273
1,1,0,90,1002.824
1,1,0,90,990.782
1,1,0,90,991.424
1,1,0,90,990.586
1,1,0,90,990.099
1,1,0,90,990.168
1,1,0,90,989.533
1,1,0,90,990.102
1,1,0,90,990.375
1,1,0,90,990.203
1,1,0,90,990.401
1,1,0,90,990.470
1,1,0,90,990.632
1,1,0,90,989.867
1,1,0,90,992.899
1,1,0,90,981.005
1,1,0,90,992.889
1,1,0,90,990.606
1,1,0,90,990.860
1,1,0,90,990.058
1,1,0,90,990.238
1,1,0,90,990.622
1,1,0,90,990.432
1,1,0,90,990.538
1,1,0,90,990.495
1,1,0,90,990.509
1,1,0,90,990.503
1,1,0,90,990.517
1,1,0,90,990.419
1,1,0,90,990.729
1,1,0,90,991.205
1,1,0,90,990.440
1,1,0,90,990.343
1,1,0,90,978.282
1,1,0,90,995.888
1,1,0,90,1002.438
1,1,0,90,990.637
1,1,0,90,990.076
1,1,0,90,990.274
1,1,0,90,989.862
1,1,0,90,990.671
1,1,0,90,990.740
1,1,0,90,990.328
1,1,0,90,989.841
1,1,0,90,989.743
1,1,0,90,989.905
1,1,0,90,1010.622
1,1,0,90,990.265
1,1,0,90,990.204
1,1,0,90,999.495
1,1,0,90,990.249
1,1,0,90,980.818
1,1,0,90,992.794
1,1,0,90,991.048
1,1,0,90,1687.595
1,1,0,90,1164.722
1,1,0,90,990.848
1,1,0,90,990.065
1,1,0,90,991.745
1,1,0,90,990.462
1,1,0,90,990.382
1,1,0,90,990.562
1,1,0,90,991.298
1,1,0,90,991.145
1,1,0,90,990.602
1,1,0,90,990.171
1,1,0,90,999.833
1,1,0,90,990.624
1,1,0,90,989.878
1,1,0,90,979.725
1,1,0,90,992.460
1,1,0,90,991.159
1,1,0,90,990.968
1,1,0,90,990.704
1,1,0,90,992.847
1,1,0,90,991.304
1,1,0,90,994.577
1,1,0,90,989.924
1,1,0,90,991.400
1,1,0,90,990.876
1,1,0,90,990.778
1,1,0,90,991.366
1,1,0,90,1000.305
1,1,0,90,990.281
1,1,0,90,990.591
1,1,0,90,989.549
1,1,0,90,989.895
1,1,0,90,967.001
1,1,0,90,991.978
1,1,0,90,990.546
1,1,0,90,996.060
1,1,0,90,991.129
1,1,0,90,990.568
1,1,0,90,990.359
1,1,0,90,993.391
1,1,0,90,991.275
1,1,0,90,991.232
1,1,0,90,990.672
1,1,0,90,990.889
1,1,0,90,990.235
1,1,0,90,990.471
1,1,0,90,991.392
1,1,0,90,1001.071
1,1,0,90,989.955
1,1,0,90,990.487
1,1,0,90,994.760
1,1,0,90,989.828
1,1,0,90,990.323
1,1,0,90,990.170
1,1,0,90,989.961
1,1,0,90,990.326
1,1,0,90,990.932
1,1,0,90,990.501
1,1,0,90,990.311
1,1,0,90,992.768
1,1,0,90,991.800
